status,city,state,country,classification,product_type,event_id,recalling_firm,address_1,address_2,postal_code,voluntary_mandated,initial_firm_notification,distribution_pattern,recall_number,product_description,product_quantity,reason_for_recall,recall_initiation_date,center_classification_date,report_date,code_info,more_code_info,termination_date
Ongoing,North Bergen,NJ,United States,Class II,Food,94189,Colonna Brothers Inc.,4102 Bergen Tpke,,07047-2510,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Distributed to retail stores nationwide.,F-1260-2024,Supreme Tradition brand and Marcum brand ground cinnamon. Packaged in 1.5 oz and 2.25 oz clear plastics jars,Unknown,Elevated lead levels in cinnamon,2024-03-06,2024-05-23,2024-05-29,Best By: 10/16/25 10DB Best By: 04/06/25 0400B1  09/29/25 09E8 04/17/25  04E11 12/19/25 12C2 04/12/25 04ECB12 08/24/25 08A_ _ 04/21/25 04E5 04/21/25 04E5 9/22/2025 09E20,,
Ongoing,New Century,KS,United States,Class I,Food,94565,Danisco USA Inc.,4 New Century Pkwy,N/A,66031-1144,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","US: AZ, CA, CO, FL, IA, ID, IL, IN, KS, KY, MI, MN, MO, NE, NJ, NY, OH, OK, PA, TN, TX, UT, VA, WI; Canada, and Mexico",F-1310-2024,"Germantown Dari Whip II, Stabilizer and Emulsifier System, 22.68 kg / 50 lb bag",1814.40 kg,Potential Salmonella Contamination,2024-05-03,2024-06-06,2024-06-12,Lot numbers: 1204602251; 1204602252,,
Ongoing,Fontana,CA,United States,Class I,Food,94117,"Castle Importing, Inc.",14550 Miller Ave,,92336-1696,Voluntary: Firm initiated,E-Mail,"U.S. distribution to the following: CA< OH, CT, FL, TX, WA, IL  No foreign distribution.",F-1038-2024,"Crumbled Cotija Net Wt. 5.6 lbs (300/0.3oz), Net Wt. 7.5 lbs (300/0.4 oz) Fontana, CA 92336 Plant #06-00333  Classic Castle Brand Crumbled Cotija Net Wt. 20 lbs, Net Wt. 5 lbs Fontana, CA 92336 Plant #06-00333  Classic Castle Brand Grated Cotija Net Wt. 20 lbs, Net Wt. 5 lbs Fontana, CA 92336 Plant #06-00333","8,886 cases",Product has the potential to be contaminated with Listeria monocytogenes.,2024-02-05,2024-03-06,2024-03-13,CASTLE CRUMBLED COTIJA 4/5LB 00791-24IN4/5-PH2 56006 Customer Lot #  23285  23285  23296  23306  23306  23317  23317  23338  23338  23338  23338  23349  23356  23356  23356  23360  23361  24011  24017  24017  24018  24018  24018  24031  24032   24922 CRUMBLED COTIJA 300/.3oz  00791-7LNRS300/.3oz-PH2  76002  Customer Lot #  23299  23300  23300  23304  23307  23313  23313  23320  23320  23333  23333  23342  23342  23347  23348  23349  23352  23352  23354  23355  23355  23356  23360  23361  24011  24012  24015  24016  24017  24022  24023  24024  24029  24030   24534 CRUMBLED COTIJA 300/.4oz  00791-7LNRS300/.4oz-PH2  76023  Customer Lot #  23333  23334  23361  23362  24012  24015  24015  24016  24026  24029  24029  24030  24031  24032  24033   CASTLE GRATED COTIJA 4/5 00650-7-24IN4/5 76036 Customer Lot #  23313  23320  23332  23333  23361  24017  24024  24030   CASTLE GRATED COTIJA 4/5lbs     00650-0-24IN4/5     76034     Customer Lot #   23293   23296   23355   23356   24011   24029   24030   24031   24032,,
Ongoing,Canton,MI,United States,Class II,Food,94488,"Mucci Food Products, Ltd. DBA Mama Mucci's Pasta",7676 Ronda Dr,,48187-2430,Voluntary: Firm initiated,Telephone,MI,F-1257-2024,"Mucci Food Products, Ltd. Tiramisu Italian Dessert, 2, 4.25 lb trays per case",50 cases,Undeclared milk and incomplete Contains statement,2024-04-18,2024-05-23,2024-05-29,Best By 04-09-25,,
Ongoing,Springdale,AR,United States,Class II,Food,94548,Rise Baking Company dba South Coast Baking,800 S 40th St,N/A,72762-4826,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","California, Ohio, Pennsylvania, Oregon, Florida, Illinois, North Carolina, Massachusetts, Wisconsin, Colorado, Louisiana, Texas, Missouri, Minnesota, Oklahoma, New York, Michigan, Indiana, Maryland, New Jersey and Georgia",F-1302-2024,"Panera Kitchen Sink Cookie, Net Wt. 45 lb (20.41 kg), 120/6 oz dough pucks/case","29,019 Cases (Total all products)",Potential Salmonella contamination,2024-05-02,2024-06-06,2024-06-12,4110N3,,
Terminated,Hilo,HI,United States,Class I,Food,93815,"Big Island Candies, Inc.",585 Hinano St,,96720-4428,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",U.S. distribution to the following: HI,F-0857-2024,"Makana Brownie Assortment Box Golden Macadamia Nut Brownie Milk Chocolate Covered Macadamia Nut Brownie Dark Chocolate Covered Macadamia Nut Brownie Made in Hawaii by Big Island Candies, Inc. Hilo Flagship Retail Gift Shop and Factory Big Island of Hawaii Ala Moana Center Street Level 1 Center Court www.bigislandcandies.com This product is processed in a plant that handles peanut and tree nut products. For optional flavor and freshness, please consume within 4-6 weeks of purchase",120 boxes,Wrong product in package; undeclared allergen (peanuts),2024-01-10,2024-02-07,2024-02-14,batch code RFFIC 326760,,2024-04-16
Terminated,Easton,PA,United States,Class II,Food,94666,BAKERLY BARN LLC,4300 Braden Blvd E,,18040-6556,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",AR,F-1258-2024,"Marketside Brioche Rolls, Authentic French Recipe, Net Wt. (.88 OZ (280g)","1,362 cases",Product contains undeclared soy lecithin.,2024-04-30,2024-05-23,2024-05-29,Lot #1: 101012430 Lot #2: 1010114030 Lot #3: 1010124030,,2024-06-12
Ongoing,Plant City,FL,United States,Not Yet Classified,Food,94659,"El Mirasol, Inc.",4008 Airport Rd,N/A,33563-1108,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",U.S. distribution within the state of Florida. No foreign distribution.,N/A,"Tortilla de Harina, 400 gr, 10 count, packaged in clear plastic bag, 20 packages per case.","50 cases of 20 packages of 10 tortillas, Lot #012324120800, Exp: 02/23/2024; 50 cases of 20 packages of 10 tortillas, Lot #021924120800, Exp: 03/19/24",Undeclared allergen: Wheat,2024-04-29,,2024-06-12,"Lot #012324120800, Exp: 02/23/2024; Lot #021924120800, Exp: 03/19/2024.",,
Ongoing,Cleveland,OH,United States,Class II,Food,93817,Greco Sidari,3820 Lakeside Ave E,,44114-3848,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","OH, NY & PA",F-0841-2024,SOPRA  RICOTTA AMALFI 4/5#      SUPC/ITEM # 193650,1375 cases total,The food was not held at an appropriate temperature.  The holding temperature could affect spoilage and potentially support pathogen growth.,2024-01-11,2024-02-05,2024-02-14,"All Lot Codes Distributed between November 26, 2023 and January 5, 2024",,
Ongoing,New Century,KS,United States,Class I,Food,94565,Danisco USA Inc.,4 New Century Pkwy,N/A,66031-1144,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","US: AZ, CA, CO, FL, IA, ID, IL, IN, KS, KY, MI, MN, MO, NE, NJ, NY, OH, OK, PA, TN, TX, UT, VA, WI; Canada, and Mexico",F-1331-2024,"CRE-90 (RO1) Stabilizer System, 25 kg / 55.12 lb bag",50.00 kg,Potential Salmonella Contamination,2024-05-03,2024-06-06,2024-06-12,Lot number: 1204603569,,
Terminated,Garden Grove,CA,United States,Class I,Food,94085,LQNN Inc.,7180 Lampson Ave,,92841-3914,Voluntary: Firm initiated,Letter,"U.S. distribution to customers in: Alabama, Arizona, Arkansas, California, Colorado, Florida, Georgia, Hawaii, Illinois, Indiana, Kansas, Louisiana, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Nebraska, Nevada, New Jersey, New Mexico, New York, North Carolina, Ohio, Oklahoma, Oregon, Tennessee, Texas, Utah, Virginia, and Washington.   Canada with different product code and name:  Banh Pia Hopia Cake Gateau Hopia",F-1048-2024,"BANH PIA Hopia Cake Mungbean Durian,  9.7oz (275g)","222,320 bags (total)",Undeclared allergen; egg,2024-02-20,2024-03-07,2024-03-13,"Universal Product Code: 8 936014 317945 Lot #s: NOV1625, OCT1525",,2024-05-14
Ongoing,New Century,KS,United States,Class I,Food,94565,Danisco USA Inc.,4 New Century Pkwy,N/A,66031-1144,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","US: AZ, CA, CO, FL, IA, ID, IL, IN, KS, KY, MI, MN, MO, NE, NJ, NY, OH, OK, PA, TN, TX, UT, VA, WI; Canada, and Mexico",F-1305-2024,"Germantown Stabilizer 1772-II, Stabilizer and Emulsifier System, 22.68 kg / 50 lb bag",19028.52 kg,Potential Salmonella Contamination,2024-05-03,2024-06-06,2024-06-12,Lot numbers: 1204594282; 1204594283; 1204595175; 1204595176; 1204599549; 1204599551; 1204599552; 1204599553; 1204611722; 1204613383; 1204622863; 1204622865; 1204622868; 1204627767; 1204627768; 1204627769; 1204627770; 1204627771; 1204627772; 1204627773; 1204627774,,
Ongoing,Cleveland,OH,United States,Class II,Food,93817,Greco Sidari,3820 Lakeside Ave E,,44114-3848,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","OH, NY & PA",F-0842-2024,GRANDE   RICOTTA SOPRAFFINA GRANDE 1/3#      SUPC/ITEM # 195351,1375 cases total,The food was not held at an appropriate temperature.  The holding temperature could affect spoilage and potentially support pathogen growth.,2024-01-11,2024-02-05,2024-02-14,"All Lot Codes Distributed between November 26, 2023 and January 5, 2024",,
Terminated,Plymouth,WI,United States,Class I,Food,93950,"Sargento Foods, Inc.",1 Persnickety Pl,,53073-3544,Voluntary: Firm initiated,E-Mail,"AZ, CA, FL, GA, IL, IN, MD, NC, NJ, NV, OH, RI, TX, WA, WI",F-1013-2024,"Monterey Jack cheese packaged in the following configurations:   1.   Sargento, Part #23602 Deep V Shredded Monterey Jack Cheese Pack Size 500/0.5 oz.     Material #10001592, UPC 46100343999.     2.  Sargento Fancy Shredded Monterey Jack Cheese   Pack Size 400/1 oz.  Net Wt 25.000 lbs.     Material #10003458, UPC 46100356753.      Keep Refrigerated.  Product of USA.  Distributed By Sargento Foods Inc, Plymouth, WI  53073  USA.","1,104 cases",Listeria monocytogenes,2024-02-05,2024-02-29,2024-03-06,Batch / Use By Dates:   Product 1:   02224434 / Best By   APR/19/24    Product 2:    02217002 / Best By  FEB/29/24,,2024-04-30
Terminated,Garden Grove,CA,United States,Class I,Food,94085,LQNN Inc.,7180 Lampson Ave,,92841-3914,Voluntary: Firm initiated,Letter,"U.S. distribution to customers in: Alabama, Arizona, Arkansas, California, Colorado, Florida, Georgia, Hawaii, Illinois, Indiana, Kansas, Louisiana, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Nebraska, Nevada, New Jersey, New Mexico, New York, North Carolina, Ohio, Oklahoma, Oregon, Tennessee, Texas, Utah, Virginia, and Washington.   Canada with different product code and name:  Banh Pia Hopia Cake Gateau Hopia",F-1043-2024,"Vegetarian Pia Cake Mung Bean Pumpkin, 14 oz (400g)","222,320 bags (total)",Undeclared allergen; egg,2024-02-20,2024-03-07,2024-03-13,Universal Product Code: 8 936014 316375  Lot #: OCT1525,,2024-05-14
Ongoing,San Antonio,TX,United States,Class I,Food,93774,World Green Nutrition Inc.,1905 Nogalitos,,78225-1235,Voluntary: Firm initiated,E-Mail,"TX, CA, AZ, NC, GA, OR, WA, NM",F-1000-2024,"ELV ALIPOTEC brand MEXICAN TEJOCOTE ROOT SUPPLEMENT PIECES (RAIZ DE TEJOCOTE MEXICANO SUPLEMENTO EN TROZOS), NET. WT, 0.3 0Z (7g)","113,500","FDA analysis found product labeled as tejocote is actually contains yellow oleander, which is toxic to humans.",2024-01-06,2024-02-29,2024-03-06,LOT Expiration Date 090222 110424 070722 110424 150722N 120724 190722N 120724 150722N-1 120724 110522 120724 070722 120724 040722 120724 260522 120724 190722N-1 120724 150822 120724 160622 92324 030123 030728 150722N 030828 030123 030628 291122 030628 250123 030628 130123 030728 040722 031328 030123 031328 160622 031428 250123 031428 250123 031528 250123 032128 250123 032228 250123 032328 250123 032428 250123 032728 250123 032828 150722N 032828 160622 041928 260123D 041928 190722N 041928 250123 041828 140223 051228 030223 051228 010323 051528 190722N 051528 200722 051228 250123 051228 150722N 051228 020323 052328 260123D 052328 190722N 052428 260123D 071828 010323 071928 030223 071928 260123D 073128 260123D 080228 140223D 081528,,
Terminated,Apple Valley,MN,United States,Class III,Food,94342,Abdallah Incorporated,6075 147th St W,,55124-2601,Voluntary: Firm initiated,Telephone,"CA, CO, IA, MI, MN, MO, MS. MT, NC, OK, PA, SD, TX, WI, WY",F-1173-2024,"Abdallah Sea Salt Almond Alligators.  Net Weight 8 ounces (226g).  UPC 7 66684-00412 2.     Abdallah Candies, Made in Apple Valley, MN.",125 boxes,Sea Salt Almond Allegator candy has a back label for chocolate covered cherries.,2024-03-30,2024-04-18,2024-04-24,Lot:  0315,,2024-04-29
Terminated,York,ME,United States,Class I,Food,94195,"Stonewall Kitchen, LLC",2 Stonewall Ln,,03909-1662,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","MA, WY, MT, ND, IA, NC, NM, ME, NJ, VT, GA, MN, MI, MD, NV, DE, IN, UT, CA, TN, OH, PA, OR, WA, AZ, AR, SD, VA, FL, KY, NH, TX, IL, SC, MO. KS, NY, NE, WI, CO, ID, OK, CT, RI   Ontario, Canada",F-1082-2024,Stonewall Kitchen Cinnamon Sugar Doughnut Mix; Gluten Free; Home-Baked & Gluten Free; Net Wt. 18oz (510g); UPC: 1138131332,2405 units,Product contains undeclared wheat.,2024-03-07,2024-03-18,2024-03-27,Use By Dates: 3/9/25 and 3/10/25,,2024-06-14
Ongoing,Moosic,PA,United States,Class II,Food,94601,Nutrition Corp,4135 Birney Ave,,18507-1301,Voluntary: Firm initiated,E-Mail,Distributed to consumers nationwide,F-1276-2024,"Fresh N Lean brand Crustless Chicken Potato Pot Pie. Packaged in plastic trays, vacuum sealed.",2119 meals,Possible contamination with Listeria monocytogenes,2024-04-25,2024-05-29,2024-06-05,Expiration 5/08/2024,,
Ongoing,Dublin,CA,United States,Class I,Food,94249,Wenders LLC,11501 Dublin Blvd Ste 200,N/A,94568-2827,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","U.S. distribution to the following: CA, WA, TX  No foreign distribution.",F-1107-2024,"Trader Joe's 50% Less Sodium Roasted & Salted Whole Cashews Net Wt. 15 oz (1 LB) 454g Dist. & Sold Exclusively By: Trader Joe's, Monrovia, CA 91016 Cashews Product of India and Vietnam",6001 cases,Salmonella contamination,2024-03-15,2024-03-27,2024-04-03,"Lot No# Best Before Date T12139 Feb 21, 2025 T12140 Mar 01, 2025 T12141 Mar 08, 2025 T12142 Mar 10, 2025",,
Ongoing,New Century,KS,United States,Class I,Food,94565,Danisco USA Inc.,4 New Century Pkwy,N/A,66031-1144,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","US: AZ, CA, CO, FL, IA, ID, IL, IN, KS, KY, MI, MN, MO, NE, NJ, NY, OH, OK, PA, TN, TX, UT, VA, WI; Canada, and Mexico",F-1337-2024,"Grindsted Iced Coffee 6752 Stabilizer System, 22.68 kg / 50 lb bag",2721.60 kg,Potential Salmonella Contamination,2024-05-03,2024-06-06,2024-06-12,Lot number: 1204595488; 1204612403; 1204612404,,
Ongoing,Cleveland,OH,United States,Class II,Food,93817,Greco Sidari,3820 Lakeside Ave E,,44114-3848,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","OH, NY & PA",F-0822-2024,AMBRIOLE MOLITERNO 7# WHEEL SUPC/ITEM # 8923,1375 cases total,The food was not held at an appropriate temperature.  The holding temperature could affect spoilage and potentially support pathogen growth.,2024-01-11,2024-02-05,2024-02-14,"All Lot Codes Distributed between November 26, 2023 and January 5, 2024",,
Terminated,Rochester,NY,United States,Class II,Food,94509,"Wegmans Food Markets, Inc.",1500 Brooks Ave,,14624-3512,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","NY, PA",F-1261-2024,Wegman's Half Loaf Garlic Bread,"11,017 units",Contains undeclared milk,2024-04-25,2024-05-23,2024-05-29,purchased from October 1st to 04/26/24 UPC Codes: 0-77890-56049-5,,2024-06-14
Completed,York,ME,United States,Class II,Food,93743,"Stonewall Kitchen, LLC",2 Stonewall Ln,N/A,03909-1662,Voluntary: Firm initiated,E-Mail,"AZ, NH, CA, CT, PA, NY, VT, RI, IA, IL, MD, ME, DE, NM, MA, NJ, MI, OH, GA, IN, SC, WA",F-0793-2024,Vermont Village Unsweetened Apple Sauce (24oz),9027 units,Product contains elevated levels of patulin.,2024-01-02,2024-01-24,2024-01-31,Expiration dates: 10JUL2025 and 3OCT2025,,
Terminated,Tolleson,AZ,United States,Class II,Food,94384,"Taylor Farms Southwest, Inc",859 S 86th Ave,N/A,85353-9221,Voluntary: Firm initiated,Telephone,Affected product was distributed to six retail stores in the American South West.,F-1176-2024,Ready Meals Teriyaki Salmon W Rice 13.5OZ TRAY BLK&GOLD ALUM 22OZ with Plastic Lid #81061425 UPC:  002113010092 Sell Thru 04/12/24 LOT TFSW095A,148 individual Units,The firm is recalling 6 packages of Teriyaki Salmon that was mislabeled as Teriyaki Chicken.,2024-04-08,2024-04-19,2024-05-01,UPC:  002113010092 Sell Thru 04/12/24 LOT TFSW095A,,2024-05-03
Ongoing,Soledad,CA,United States,Class I,Food,93984,Braga Ranch INC.,33750 Moranda Road,,93960,Voluntary: Firm initiated,Letter,U.S. distribution to the following: CA  No foreign distribution.,F-1008-2024,Marketside Bacon Ranch Crunch Chopped Salad Kit 12.76 oz. UPC 6 8113130544 0,1008 cases,Product has the potential to be contaminated with Listeria monocytogenes.,2024-02-07,2024-02-29,2024-03-06,"Lot: Lot codes starting with ""BFFS"" with Best By dates of 1/20/2024-2/19/2024 Best if Used By: 1/20/2024, 1/21/2024, 1/22/2024, 1/27/2024, 1/28/2024, 1/30/2024, 2/2/2024, 2/4/2024, 2/5/2024, 2/9/2024, 2/10/2024, 2/12/2024, 2/17/2024, 2/19/2024",,
Ongoing,Kenilworth,NJ,United States,Class II,Food,94077,Turkana Food Inc.,555 N Michigan Ave,,07033-1076,Voluntary: Firm initiated,Telephone,"Distributed to retail stores in CA, CT, WI, IN, NJ, OH, FL, MA, RI, TX, IL, GA, TN, MD, PA,NJ, NC, MI,  MN, VA, and NY",F-1118-2024,Sekeroglu Lokum Love Turkish Delight Mixed With Pistachio And Pomegranate Flavor Wrap Delight 350 grams UPC:8683454050627. Packaged in a paper carton. 25 cartons per case.,72 cases,Product contains Acid Red 18,2024-02-15,2024-04-04,2024-04-10,"Lot No: L 231023KRNJL, Item NO: 1903303; Exp Date: 10/22/24",,
Ongoing,Monrovia,CA,United States,Class I,Food,93964,Trader Joe's Company,800 S Shamrock Ave,N/A,91016-6346,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Nationwide  No foreign distribution.,F-1070-2024,Trader Joe s Elote Chopped Salad Kit (SKU 74768) 11.94 oz.,"7,348 cases",L. mono contamination,2024-02-07,2024-03-14,2024-03-20,"All codes, Used By dates on or before February 18, 2024.",,
Terminated,Plymouth,WI,United States,Class I,Food,93950,"Sargento Foods, Inc.",1 Persnickety Pl,,53073-3544,Voluntary: Firm initiated,E-Mail,"AZ, CA, FL, GA, IL, IN, MD, NC, NJ, NV, OH, RI, TX, WA, WI",F-1019-2024,"Sargento Bevel Shredded Queso Quesadilla Cheese.  Pack Size 450/1 oz.  Net Wt 28.125 lbs.  Material #10003481.  UPC  46100356593.  Keep Refrigerated.  Product of USA.  Distributed By Sargento Foods Inc, Plymouth, WI  53073  USA.",30 cases,Listeria monocytogenes,2024-02-05,2024-02-29,2024-03-06,Batch / Use By Dates:  02225891 / Best By   MAY/02/24.,,2024-04-30
Ongoing,New Century,KS,United States,Class I,Food,94565,Danisco USA Inc.,4 New Century Pkwy,N/A,66031-1144,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","US: AZ, CA, CO, FL, IA, ID, IL, IN, KS, KY, MI, MN, MO, NE, NJ, NY, OH, OK, PA, TN, TX, UT, VA, WI; Canada, and Mexico",F-1332-2024,"CRE-90 (RO1) 25 KG Bag Lala, 25 kg / 55.12 lb bag",500.00 kg,Potential Salmonella Contamination,2024-05-03,2024-06-06,2024-06-12,Lot numbesr: 1204607206; 1204607209; 1204607211; 1204607212; 1204610370; 1204610370; 1204610373; 1204610374; 1204610377,,
Ongoing,Doral,FL,United States,Class I,Food,94459,"Infinite Herbs, LLC",7903 Nw 21st St,N/A,33122-1616,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Florida, Illinois, Missouri, Virginia, Connecticut, Pennsylvania, and Massachusetts.",F-1246-2024,"Infinite Herbs Organic Basil packed in a clear 2.5 oz, 2.0 oz, and 4 oz PET clamshell container.","235,077 units",Salmonella typhimurium in organic basil,2024-04-16,2024-05-16,2024-05-22,"The Infinite Herbs Organic Basil packed in a clear 2.5 oz, 2.0 oz, and 4.0 oz in PET clamshell containers.   Lot /Trace Codes: Basil 2.5 oz, 9 Pk Organic 0332041       0582041     0792041 0372041       0612041     0822041 0402041       0652041     0862041 0452041       0682041     0892041 0472041       0722041     0932041 0512041       0752041  Lot/ Trace Codes: Basil 2.5 oz, 12 Pk Organic 04052654/04052044           04032042          03252042            04042614/04042044           04011042          03231042 2654/2044                            04062043          03221042 04052044                              04052043          03212042 04022614/04022044           04042043          03202042 04012044                              04032043          03192042 03302044                              04021043          03182042 04062042                              03302042          03162042 03292042                              03272042          03152042 03282042                              03261042          03142042 03132042                              03092042          03082042 03122042                              03112042          03072042 03062042                              03012042          03302043 03052042                              03042042          03292043 03022042                              03302043           03282043                              03272043 03262043 03252043 03232043 03232043 03222043 03212043 03202043 03192043 03182043 03162043 03162043 03152043 03142043 03132043 03122043 03112043 03092043 03092043 03072043 03062043 03052043 03302044 03301044 03291044 03292044 03292044 03302044 03282614/03282044 03282044 03292044 03282614/03282044 03262614/03262044 03262614/03262044 03252044 03252044 03232044 03232044 03252044 03232614/'03232044 03232044 03232044 03222044 03212044 03212044 03222014 03212614/03212044 03192044 03192044/03192614 03182044 03182044 03192044 03182614/03182044 03162044 03162044 03162044 03162044/03162614 03152614/03152044 03152044 03162044 03142044/03142614 03132044 03132044 03142044 03122044 03122044 03132044 03122614/03122044 03092614 03092614/03092044 03092044 03092614/03092044 03082044 03092614/03092044 03072044 03072044 03082044 03062044 03062044 03072044 03052044 03052044 03062044 03042044 03042044 03052044 03022044 03022044/03022614 03042044/03042614 03022044 03022044 03022044 03012614/03012044 03012614/03012044 03022614/03022044 02292614/02292044 03012044 02012042 02022042 02032042 02052042 02062042 02072042 02081042 02092042 02102042 02122042 02132042 02012043 02022043 02032043 02032043 02052043 02062043 02072043 02082043 02092043 02102043 02102043 02122043 02132043 01312044 01312044 02012044 02012044 02012044 02032044/02032614 02032044 02032044/02032614 02032044 02032044 02032044 02052044/02052614 02052044 02052044 02062044 02062044/02062614 02082044/02082614 02082044/02082614 02082044 02092044 02092044 02092044 02102044 02102044 02102044 02102044 02102044/02102614 02122044/02122614 02122044 02132044  Lot/Trace Codes: Basil Tub 2.0 Oz, 6 Pc Organic 02082043 02072043  Lot/Trace Codes: Basil 4 Oz, 4 Pk Organic 02082043 02072043",,
Ongoing,Cleveland,OH,United States,Class II,Food,93817,Greco Sidari,3820 Lakeside Ave E,,44114-3848,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","OH, NY & PA",F-0831-2024,GRANDE BURRATA GRANDE 4/1#     SUPC/ITEM # 19137,1375 cases total,The food was not held at an appropriate temperature.  The holding temperature could affect spoilage and potentially support pathogen growth.,2024-01-11,2024-02-05,2024-02-14,"All Lot Codes Distributed between November 26, 2023 and January 5, 2024",,
Ongoing,Sunbury,PA,United States,Class II,Food,94241,"Weis Markets, Inc., Ice Cream Division",800 S 2nd St,,17801,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Distributed in a retail store in PA,F-1150-2024,"Bakery Item: Angel Creme Filled Powdered Donuts 6 ct. scale UPC: 2128770005501, packaged in a cardboard box. Product is also separately in the self service case in the store bakery. Customers can put their selected donut(s) in a bag or clamshell container.",96 units,Foreign material (metal) in donuts,2024-03-15,2024-04-13,2024-04-24,"Single Serve Donut   Sell by Mar 15, 24   Sell by Mar 16, 24 6 count Donut -           Sell by Mar 17, 24   Sell by Mar 18, 24",,
Terminated,Cullen,VA,United States,Class II,Food,93957,"Country Corner Dairy, LLC",3005 County Line Rd,N/A,23934-2041,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","The recall product was distributed to the following states : MD, VA",F-0914-2024,"Fresh Local , Country Corner Dairy,  YELLOW CHEDDAR CHEESE, INGREDIENTS: Pasteurized Milk, Salt , Rennet, Calcium Chloride,  Cheese Culture, Color, Contains Milk. Product comes in various sizes, 6 oz. up to 42 lbs. and is in vacuum sealed plastic packaging.",6605 lbs. total,Product was made with a lack of proper pasteurization.,2024-02-01,2024-02-22,2024-02-28,080423,,2024-03-25
Ongoing,Sacramento,CA,United States,Class II,Food,94390,Sacramento Cookie Factory,3428 Auburn Blvd,N/A,95821-1904,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","U.S. Distribution to the following states: CA, AK, IA, NY, TX, FL, WA, NJ, WA, VA, GA, TN, AZ, AL, NC. For foreign or government distribution.",F-1219-2024,Original Wine Wafer - Lemon Vanilla [Two sizes: retail package of 8 wafers (7 oz) and retail gift package of 2 wafers (2 oz)],"Retail package of 8 wafers: 1,015 units; Retail Gift of 2 wafers: 203 units",Undeclared allergen (milk),2024-04-17,2024-05-06,2024-05-15,All best by dates up to 4/2/2025 (shelf life is 1 year from manufacture date). Firm does not apply lot codes.,,
Terminated,Kent,WA,United States,Class II,Food,94336,"Taylor Farms Northwest, LLC",8030 S 228th St Bldg A,N/A,98032-2987,Voluntary: Firm initiated,E-Mail,Distributed in Oregon and Washington,F-1130-2024,"Taylor Farms Buffalo Chicken Party Tray, packaged in black plastic tray with clear plastic lid. This tray consists of 9 pieces of King's Hawaiian Bread. Net wt. 22.5oz (1.40lbs), UPC 30223 11582. Distributed by Taylor Farms NW Kent WA.    The recalled product's plastic lid is correctly labeled as Buffalo Chicken Party Tray.  The recalled product's bottom tray is mis-labeled as Apple Cranberry Pecan Chicken Salad, net wt. 14oz., UPC 30223 11484, and declared Contains: Egg, Tree Nuts (Pecans).",64 units,"Undeclared Milk, Wheat, & Soy due to incorrect ingredient label",2024-03-29,2024-04-10,2024-04-17,LOT CODE: TFNW086 Sell by Date 04/03/2024,,2024-04-12
